map_id,algorithm,time,length,map_string
0,A*,5.287813901901245,44,[1 1 1 1 1 1 1 1 1 1;1 3 3 0 0 2 0 0 0 1;1 0 3 1 0 0 0 0 0 1;1 0 2 1 1 1 1 1 1 1;1 0 3 0 1 1 0 0 0 0;1 0 0 2 5 1 0 0 0 0;1 0 0 0 1 1 0 0 0 0;1 0 2 0 1 0 0 0 0 0;1 0 0 0 1 0 0 0 0 0;1 1 1 1 1 0 0 0 0 0]
0,DFS,3.257110595703125,200,[1 1 1 1 1 1 1 1 1 1;1 3 3 0 0 2 0 0 0 1;1 0 3 1 0 0 0 0 0 1;1 0 2 1 1 1 1 1 1 1;1 0 3 0 1 1 0 0 0 0;1 0 0 2 5 1 0 0 0 0;1 0 0 0 1 1 0 0 0 0;1 0 2 0 1 0 0 0 0 0;1 0 0 0 1 0 0 0 0 0;1 1 1 1 1 0 0 0 0 0]
0,BFS,6.810622930526733,44,[1 1 1 1 1 1 1 1 1 1;1 3 3 0 0 2 0 0 0 1;1 0 3 1 0 0 0 0 0 1;1 0 2 1 1 1 1 1 1 1;1 0 3 0 1 1 0 0 0 0;1 0 0 2 5 1 0 0 0 0;1 0 0 0 1 1 0 0 0 0;1 0 2 0 1 0 0 0 0 0;1 0 0 0 1 0 0 0 0 0;1 1 1 1 1 0 0 0 0 0]
1,A*,0.5507597923278809,41,[1 1 1 1 1 1 0 0 0 0;1 0 3 0 0 1 0 0 0 0;1 3 0 2 0 1 0 0 0 0;1 1 0 1 1 1 0 0 0 0;1 0 0 1 0 0 0 0 0 0;1 0 0 1 1 0 0 0 0 0;1 1 0 0 1 1 1 1 1 0;1 0 2 0 2 0 1 0 1 1;1 5 2 3 0 0 0 3 0 1;1 1 1 1 1 1 1 1 1 1]
1,DFS,0.5200140476226807,169,[1 1 1 1 1 1 0 0 0 0;1 0 3 0 0 1 0 0 0 0;1 3 0 2 0 1 0 0 0 0;1 1 0 1 1 1 0 0 0 0;1 0 0 1 0 0 0 0 0 0;1 0 0 1 1 0 0 0 0 0;1 1 0 0 1 1 1 1 1 0;1 0 2 0 2 0 1 0 1 1;1 5 2 3 0 0 0 3 0 1;1 1 1 1 1 1 1 1 1 1]
1,BFS,0.5017237663269043,41,[1 1 1 1 1 1 0 0 0 0;1 0 3 0 0 1 0 0 0 0;1 3 0 2 0 1 0 0 0 0;1 1 0 1 1 1 0 0 0 0;1 0 0 1 0 0 0 0 0 0;1 0 0 1 1 0 0 0 0 0;1 1 0 0 1 1 1 1 1 0;1 0 2 0 2 0 1 0 1 1;1 5 2 3 0 0 0 3 0 1;1 1 1 1 1 1 1 1 1 1]
2,A*,1.5829575061798096,35,[0 0 0 1 1 1 1 1 1 1;0 1 1 1 0 0 1 0 0 1;0 1 0 2 0 0 2 2 3 1;0 1 5 2 3 3 0 0 0 1;0 1 1 0 0 3 1 1 0 1;0 0 1 1 1 1 1 0 0 1;0 0 0 0 0 0 1 1 0 1;0 0 0 0 0 1 1 0 0 1;0 0 0 0 0 1 0 0 0 1;0 0 0 0 0 1 1 1 1 1]
2,DFS,2.049999713897705,91,[0 0 0 1 1 1 1 1 1 1;0 1 1 1 0 0 1 0 0 1;0 1 0 2 0 0 2 2 3 1;0 1 5 2 3 3 0 0 0 1;0 1 1 0 0 3 1 1 0 1;0 0 1 1 1 1 1 0 0 1;0 0 0 0 0 0 1 1 0 1;0 0 0 0 0 1 1 0 0 1;0 0 0 0 0 1 0 0 0 1;0 0 0 0 0 1 1 1 1 1]
2,BFS,2.1265816688537598,35,[0 0 0 1 1 1 1 1 1 1;0 1 1 1 0 0 1 0 0 1;0 1 0 2 0 0 2 2 3 1;0 1 5 2 3 3 0 0 0 1;0 1 1 0 0 3 1 1 0 1;0 0 1 1 1 1 1 0 0 1;0 0 0 0 0 0 1 1 0 1;0 0 0 0 0 1 1 0 0 1;0 0 0 0 0 1 0 0 0 1;0 0 0 0 0 1 1 1 1 1]
3,A*,1.800935983657837,45,[0 0 0 0 0 1 1 1 0 0;0 0 0 0 0 1 5 1 1 1;0 0 0 0 1 1 2 0 0 1;0 0 0 0 1 0 0 2 0 1;0 0 0 0 1 0 0 1 0 1;0 0 0 1 1 0 2 2 3 1;0 0 0 1 0 3 0 0 0 1;0 0 0 1 1 0 3 3 0 1;0 0 0 0 1 0 0 0 0 1;0 0 0 0 1 1 1 1 1 1]
