map_id,map_size,num_crates,algorithm,time,length,map_string
1,5,1,A*,2.384185791015625e-05,0,[1 1 1 1 1;1 5 0 0 1;1 0 0 0 1;1 0 0 0 1;1 1 1 1 1]
1,5,1,DFS,1.71661376953125e-05,0,[1 1 1 1 1;1 5 0 0 1;1 0 0 0 1;1 0 0 0 1;1 1 1 1 1]
1,5,1,BFS,7.152557373046875e-06,0,[1 1 1 1 1;1 5 0 0 1;1 0 0 0 1;1 0 0 0 1;1 1 1 1 1]
2,6,2,A*,0.0012273788452148438,8,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 3 3 0 1;1 0 2 2 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
2,6,2,DFS,0.03278946876525879,32,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 3 3 0 1;1 0 2 2 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
2,6,2,BFS,0.0043714046478271484,8,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 3 3 0 1;1 0 2 2 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
3,6,2,A*,0.0006725788116455078,5,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 2 3 0 1;1 0 2 3 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
3,6,2,DFS,0.03201413154602051,16,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 2 3 0 1;1 0 2 3 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
3,6,2,BFS,0.0015687942504882812,5,[1 1 1 1 1 1;1 5 0 0 0 1;1 0 2 3 0 1;1 0 2 3 0 1;1 0 0 0 0 1;1 1 1 1 1 1]
4,7,3,A*,0.02436208724975586,13,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 0 2 3 0 1;1 0 0 3 0 0 1;1 0 3 2 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
4,7,3,DFS,0.6627275943756104,625,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 0 2 3 0 1;1 0 0 3 0 0 1;1 0 3 2 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
4,7,3,BFS,0.03207516670227051,13,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 0 2 3 0 1;1 0 0 3 0 0 1;1 0 3 2 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
5,7,3,A*,0.01629185676574707,13,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 2 0 3 0 1;1 0 0 3 2 0 1;1 0 3 0 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
5,7,3,DFS,0.5573644638061523,167,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 2 0 3 0 1;1 0 0 3 2 0 1;1 0 3 0 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
5,7,3,BFS,0.08279824256896973,13,[1 1 1 1 1 1 1;1 5 0 0 0 0 1;1 0 2 0 3 0 1;1 0 0 3 2 0 1;1 0 3 0 2 0 1;1 0 0 0 0 0 1;1 1 1 1 1 1 1]
